기간,animal,자치구,계,인도(주인),입양분양,폐사안락사,계류기증,수의사합계,인구총계
2009,개,강남구,314,69,58,184,3,116,"569,499"
2009,고양이,강남구,251,4,13,215,19,116,"569,499"
2009,기타 동물,강남구,13,0,7,4,2,116,"569,499"
2009,개,강동구,754,189,404,106,55,41,"489,655"
2009,고양이,강동구,268,4,149,94,21,41,"489,655"
2009,기타 동물,강동구,24,0,19,2,3,41,"489,655"
2009,개,강북구,430,60,53,317,0,31,"343,912"
2009,고양이,강북구,146,1,4,141,0,31,"343,912"
2009,기타 동물,강북구,4,0,1,3,0,31,"343,912"
2009,개,강서구,577,79,73,415,10,40,"579,196"
2009,고양이,강서구,222,2,4,210,6,40,"579,196"
2009,기타 동물,강서구,19,0,4,14,1,40,"579,196"
2009,개,관악구,785,101,421,211,52,64,"547,311"
2009,고양이,관악구,424,6,216,196,6,64,"547,311"
2009,기타 동물,관악구,0,0,0,0,0,64,"547,311"
2009,개,광진구,357,46,57,251,3,90,"386,513"
2009,고양이,광진구,375,2,193,121,59,90,"386,513"
2009,기타 동물,광진구,9,0,2,7,0,90,"386,513"
2009,개,구로구,518,85,196,182,55,33,"449,613"
2009,고양이,구로구,367,5,136,206,20,33,"449,613"
2009,기타 동물,구로구,23,0,11,11,1,33,"449,613"
2009,개,금천구,242,38,25,172,7,13,"263,116"
2009,고양이,금천구,106,3,4,93,6,13,"263,116"
2009,기타 동물,금천구,12,1,6,3,2,13,"263,116"
2009,개,노원구,362,45,37,280,0,47,"615,161"
2009,고양이,노원구,156,1,7,148,0,47,"615,161"
2009,기타 동물,노원구,6,0,1,5,0,47,"615,161"
2009,개,도봉구,284,35,35,208,6,30,"372,398"
2009,고양이,도봉구,128,4,31,93,0,30,"372,398"
2009,기타 동물,도봉구,9,0,5,4,0,30,"372,398"
2009,개,동대문구,321,44,47,228,2,33,"374,277"
2009,고양이,동대문구,82,3,66,13,0,33,"374,277"
2009,기타 동물,동대문구,10,1,2,7,0,33,"374,277"
2009,개,동작구,577,77,99,343,58,37,"407,973"
2009,고양이,동작구,281,2,88,169,22,37,"407,973"
2009,기타 동물,동작구,8,0,3,5,0,37,"407,973"
2009,개,마포구,513,76,384,53,0,58,"392,313"
2009,고양이,마포구,291,2,188,101,0,58,"392,313"
2009,기타 동물,마포구,4,0,4,0,0,58,"392,313"
2009,개,서대문구,478,84,290,104,0,21,"336,649"
2009,고양이,서대문구,319,1,162,156,0,21,"336,649"
2009,기타 동물,서대문구,8,0,7,1,0,21,"336,649"
2009,개,서초구,196,27,26,143,0,67,"431,131"
2009,고양이,서초구,225,2,12,210,1,67,"431,131"
2009,기타 동물,서초구,12,0,4,8,0,67,"431,131"
2009,개,성동구,265,46,26,193,0,20,"316,064"
2009,고양이,성동구,122,1,5,116,0,20,"316,064"
2009,기타 동물,성동구,8,0,0,8,0,20,"316,064"
2009,개,성북구,406,46,26,334,0,36,"484,457"
2009,고양이,성북구,144,1,3,138,2,36,"484,457"
2009,기타 동물,성북구,13,0,3,10,0,36,"484,457"
2009,개,송파구,519,95,328,96,0,87,"689,296"
2009,고양이,송파구,407,5,269,133,0,87,"689,296"
2009,기타 동물,송파구,4,0,3,1,0,87,"689,296"
2009,개,양천구,578,82,230,254,12,54,"506,684"
2009,고양이,양천구,64,3,22,39,0,54,"506,684"
2009,기타 동물,양천구,0,0,0,0,0,54,"506,684"
2009,개,영등포구,288,37,19,229,3,39,"441,747"
2009,고양이,영등포구,183,0,9,157,17,39,"441,747"
2009,기타 동물,영등포구,27,0,2,25,0,39,"441,747"
2009,개,용산구,541,62,298,181,0,32,"251,200"
2009,고양이,용산구,412,0,261,138,13,32,"251,200"
2009,기타 동물,용산구,41,1,2,31,7,32,"251,200"
2009,개,은평구,924,179,492,240,13,32,"470,782"
2009,고양이,은평구,273,5,142,103,23,32,"470,782"
2009,기타 동물,은평구,16,1,7,8,0,32,"470,782"
2009,개,종로구,227,69,119,30,9,15,"177,543"
2009,고양이,종로구,182,7,106,68,1,15,"177,543"
2009,기타 동물,종로구,0,0,0,0,0,15,"177,543"
2009,개,중구,115,11,17,87,0,12,"137,861"
2009,고양이,중구,146,3,100,43,0,12,"137,861"
2009,기타 동물,중구,7,1,3,3,0,12,"137,861"
2009,개,중랑구,376,51,19,306,0,52,"429,700"
