기간,animal,자치구,계,인구총계,수의사합계,분류,value,분류별 합계
2009,개,강남구,314,"569,499",116,인도(주인),69,73
2009,고양이,강남구,251,"569,499",116,인도(주인),4,73
2009,기타 동물,강남구,13,"569,499",116,인도(주인),0,73
2009,개,강동구,754,"489,655",41,인도(주인),189,193
2009,고양이,강동구,268,"489,655",41,인도(주인),4,193
2009,기타 동물,강동구,24,"489,655",41,인도(주인),0,193
2009,개,강북구,430,"343,912",31,인도(주인),60,61
2009,고양이,강북구,146,"343,912",31,인도(주인),1,61
2009,기타 동물,강북구,4,"343,912",31,인도(주인),0,61
2009,개,강서구,577,"579,196",40,인도(주인),79,81
2009,고양이,강서구,222,"579,196",40,인도(주인),2,81
2009,기타 동물,강서구,19,"579,196",40,인도(주인),0,81
2009,개,관악구,785,"547,311",64,인도(주인),101,107
2009,고양이,관악구,424,"547,311",64,인도(주인),6,107
2009,기타 동물,관악구,0,"547,311",64,인도(주인),0,107
2009,개,광진구,357,"386,513",90,인도(주인),46,48
2009,고양이,광진구,375,"386,513",90,인도(주인),2,48
2009,기타 동물,광진구,9,"386,513",90,인도(주인),0,48
2009,개,구로구,518,"449,613",33,인도(주인),85,90
2009,고양이,구로구,367,"449,613",33,인도(주인),5,90
2009,기타 동물,구로구,23,"449,613",33,인도(주인),0,90
2009,개,금천구,242,"263,116",13,인도(주인),38,42
2009,고양이,금천구,106,"263,116",13,인도(주인),3,42
2009,기타 동물,금천구,12,"263,116",13,인도(주인),1,42
2009,개,노원구,362,"615,161",47,인도(주인),45,46
2009,고양이,노원구,156,"615,161",47,인도(주인),1,46
2009,기타 동물,노원구,6,"615,161",47,인도(주인),0,46
2009,개,도봉구,284,"372,398",30,인도(주인),35,39
2009,고양이,도봉구,128,"372,398",30,인도(주인),4,39
2009,기타 동물,도봉구,9,"372,398",30,인도(주인),0,39
2009,개,동대문구,321,"374,277",33,인도(주인),44,48
2009,고양이,동대문구,82,"374,277",33,인도(주인),3,48
2009,기타 동물,동대문구,10,"374,277",33,인도(주인),1,48
2009,개,동작구,577,"407,973",37,인도(주인),77,79
2009,고양이,동작구,281,"407,973",37,인도(주인),2,79
2009,기타 동물,동작구,8,"407,973",37,인도(주인),0,79
2009,개,마포구,513,"392,313",58,인도(주인),76,78
2009,고양이,마포구,291,"392,313",58,인도(주인),2,78
2009,기타 동물,마포구,4,"392,313",58,인도(주인),0,78
2009,개,서대문구,478,"336,649",21,인도(주인),84,85
2009,고양이,서대문구,319,"336,649",21,인도(주인),1,85
2009,기타 동물,서대문구,8,"336,649",21,인도(주인),0,85
2009,개,서초구,196,"431,131",67,인도(주인),27,29
2009,고양이,서초구,225,"431,131",67,인도(주인),2,29
2009,기타 동물,서초구,12,"431,131",67,인도(주인),0,29
2009,개,성동구,265,"316,064",20,인도(주인),46,47
2009,고양이,성동구,122,"316,064",20,인도(주인),1,47
2009,기타 동물,성동구,8,"316,064",20,인도(주인),0,47
2009,개,성북구,406,"484,457",36,인도(주인),46,47
2009,고양이,성북구,144,"484,457",36,인도(주인),1,47
2009,기타 동물,성북구,13,"484,457",36,인도(주인),0,47
2009,개,송파구,519,"689,296",87,인도(주인),95,100
2009,고양이,송파구,407,"689,296",87,인도(주인),5,100
2009,기타 동물,송파구,4,"689,296",87,인도(주인),0,100
2009,개,양천구,578,"506,684",54,인도(주인),82,85
2009,고양이,양천구,64,"506,684",54,인도(주인),3,85
2009,기타 동물,양천구,0,"506,684",54,인도(주인),0,85
2009,개,영등포구,288,"441,747",39,인도(주인),37,37
2009,고양이,영등포구,183,"441,747",39,인도(주인),0,37
2009,기타 동물,영등포구,27,"441,747",39,인도(주인),0,37
2009,개,용산구,541,"251,200",32,인도(주인),62,63
2009,고양이,용산구,412,"251,200",32,인도(주인),0,63
2009,기타 동물,용산구,41,"251,200",32,인도(주인),1,63
2009,개,은평구,924,"470,782",32,인도(주인),179,185
2009,고양이,은평구,273,"470,782",32,인도(주인),5,185
2009,기타 동물,은평구,16,"470,782",32,인도(주인),1,185
2009,개,종로구,227,"177,543",15,인도(주인),69,76
2009,고양이,종로구,182,"177,543",15,인도(주인),7,76
2009,기타 동물,종로구,0,"177,543",15,인도(주인),0,76
2009,개,중구,115,"137,861",12,인도(주인),11,15
2009,고양이,중구,146,"137,861",12,인도(주인),3,15
2009,기타 동물,중구,7,"137,861",12,인도(주인),1,15
2009,개,중랑구,376,"429,700",52,인도(주인),51,51
2009,고양이,중랑구,107,"429,700",52,인도(주인),0,51
2009,기타 동물,중랑구,6,"429,700",52,인도(주인),0,51
2010,개,강남구,346,"577,070",180,인도(주인),82,84
2010,고양이,강남구,328,"577,070",180,인도(주인),0,84
2010,기타 동물,강남구,29,"577,070",180,인도(주인),2,84
2010,개,강동구,725,"496,939",39,인도(주인),199,203
2010,고양이,강동구,300,"496,939",39,인도(주인),3,203
2010,기타 동물,강동구,24,"496,939",39,인도(주인),1,203
2010,개,강북구,470,"350,007",34,인도(주인),38,39
2010,고양이,강북구,248,"350,007",34,인도(주인),1,39
2010,기타 동물,강북구,16,"350,007",34,인도(주인),0,39
2010,개,강서구,499,"580,506",40,인도(주인),89,94
2010,고양이,강서구,265,"580,506",40,인도(주인),5,94
2010,기타 동물,강서구,33,"580,506",40,인도(주인),0,94
2010,개,관악구,617,"549,736",71,인도(주인),121,127
2010,고양이,관악구,397,"549,736",71,인도(주인),6,127
2010,기타 동물,관악구,0,"549,736",71,인도(주인),0,127
2010,개,광진구,386,"388,775",80,인도(주인),59,62
2010,고양이,광진구,319,"388,775",80,인도(주인),2,62
2010,기타 동물,광진구,13,"388,775",80,인도(주인),1,62
2010,개,구로구,520,"452,667",37,인도(주인),92,93
2010,고양이,구로구,316,"452,667",37,인도(주인),1,93
2010,기타 동물,구로구,2,"452,667",37,인도(주인),0,93
2010,개,금천구,268,"264,544",17,인도(주인),42,42
2010,고양이,금천구,176,"264,544",17,인도(주인),0,42
2010,기타 동물,금천구,12,"264,544",17,인도(주인),0,42
2010,개,노원구,354,"615,425",49,인도(주인),65,66
2010,고양이,노원구,163,"615,425",49,인도(주인),0,66
2010,기타 동물,노원구,16,"615,425",49,인도(주인),1,66
2010,개,도봉구,353,"370,734",29,인도(주인),64,64
2010,고양이,도봉구,179,"370,734",29,인도(주인),0,64
2010,기타 동물,도봉구,20,"370,734",29,인도(주인),0,64
2010,개,동대문구,350,"379,343",34,인도(주인),46,48
2010,고양이,동대문구,60,"379,343",34,인도(주인),1,48
2010,기타 동물,동대문구,12,"379,343",34,인도(주인),1,48
2010,개,동작구,526,"413,814",43,인도(주인),81,84
2010,고양이,동작구,201,"413,814",43,인도(주인),3,84
2010,기타 동물,동작구,19,"413,814",43,인도(주인),0,84
2010,개,마포구,464,"400,464",58,인도(주인),90,96
2010,고양이,마포구,573,"400,464",58,인도(주인),6,96
2010,기타 동물,마포구,24,"400,464",58,인도(주인),0,96
2010,개,서대문구,446,"333,871",26,인도(주인),83,87
2010,고양이,서대문구,506,"333,871",26,인도(주인),4,87
2010,기타 동물,서대문구,12,"333,871",26,인도(주인),0,87
2010,개,서초구,213,"440,021",61,인도(주인),48,51
2010,고양이,서초구,265,"440,021",61,인도(주인),3,51
2010,기타 동물,서초구,17,"440,021",61,인도(주인),0,51
2010,개,성동구,247,"316,892",22,인도(주인),38,39
2010,고양이,성동구,225,"316,892",22,인도(주인),1,39
2010,기타 동물,성동구,18,"316,892",22,인도(주인),0,39
2010,개,성북구,439,"497,692",40,인도(주인),54,55
2010,고양이,성북구,324,"497,692",40,인도(주인),1,55
2010,기타 동물,성북구,16,"497,692",40,인도(주인),0,55
2010,개,송파구,549,"693,144",92,인도(주인),65,67
2010,고양이,송파구,442,"693,144",92,인도(주인),2,67
2010,기타 동물,송파구,3,"693,144",92,인도(주인),0,67
2010,개,양천구,639,"505,223",53,인도(주인),153,157
2010,고양이,양천구,107,"505,223",53,인도(주인),4,157
2010,기타 동물,양천구,5,"505,223",53,인도(주인),0,157
2010,개,영등포구,281,"445,648",37,인도(주인),59,61
2010,고양이,영등포구,239,"445,648",37,인도(주인),2,61
2010,기타 동물,영등포구,19,"445,648",37,인도(주인),0,61
2010,개,용산구,461,"257,143",37,인도(주인),80,80
2010,고양이,용산구,530,"257,143",37,인도(주인),0,80
2010,기타 동물,용산구,57,"257,143",37,인도(주인),0,80
2010,개,은평구,968,"492,925",39,인도(주인),210,221
2010,고양이,은평구,347,"492,925",39,인도(주인),11,221
2010,기타 동물,은평구,16,"492,925",39,인도(주인),0,221
2010,개,종로구,287,"179,362",15,인도(주인),79,80
2010,고양이,종로구,208,"179,362",15,인도(주인),1,80
2010,기타 동물,종로구,0,"179,362",15,인도(주인),0,80
2010,개,중구,160,"141,200",13,인도(주인),24,29
2010,고양이,중구,164,"141,200",13,인도(주인),5,29
2010,기타 동물,중구,5,"141,200",13,인도(주인),0,29
2010,개,중랑구,552,"432,302",61,인도(주인),45,48
2010,고양이,중랑구,210,"432,302",61,인도(주인),3,48
2010,기타 동물,중랑구,24,"432,302",61,인도(주인),0,48
2011,개,강남구,222,"573,003",206,인도(주인),52,58
2011,고양이,강남구,357,"573,003",206,인도(주인),6,58
2011,기타 동물,강남구,23,"573,003",206,인도(주인),0,58
2011,개,강동구,638,"500,516",55,인도(주인),222,225
2011,고양이,강동구,399,"500,516",55,인도(주인),3,225
2011,기타 동물,강동구,21,"500,516",55,인도(주인),0,225
2011,개,강북구,317,"348,740",27,인도(주인),48,50
2011,고양이,강북구,248,"348,740",27,인도(주인),2,50
2011,기타 동물,강북구,13,"348,740",27,인도(주인),0,50
2011,개,강서구,397,"575,846",91,인도(주인),59,70
2011,고양이,강서구,277,"575,846",91,인도(주인),11,70
2011,기타 동물,강서구,26,"575,846",91,인도(주인),0,70
2011,개,관악구,550,"546,350",116,인도(주인),138,140
2011,고양이,관악구,166,"546,350",116,인도(주인),2,140
2011,기타 동물,관악구,2,"546,350",116,인도(주인),0,140
2011,개,광진구,312,"386,673",145,인도(주인),65,68
2011,고양이,광진구,369,"386,673",145,인도(주인),3,68
2011,기타 동물,광진구,17,"386,673",145,인도(주인),0,68
2011,개,구로구,292,"458,908",36,인도(주인),38,38
2011,고양이,구로구,164,"458,908",36,인도(주인),0,38
2011,기타 동물,구로구,15,"458,908",36,인도(주인),0,38
2011,개,금천구,212,"264,256",16,인도(주인),26,26
2011,고양이,금천구,191,"264,256",16,인도(주인),0,26
2011,기타 동물,금천구,10,"264,256",16,인도(주인),0,26
2011,개,노원구,308,"608,062",53,인도(주인),77,79
2011,고양이,노원구,126,"608,062",53,인도(주인),1,79
2011,기타 동물,노원구,11,"608,062",53,인도(주인),1,79
2011,개,도봉구,289,"367,949",31,인도(주인),46,46
2011,고양이,도봉구,157,"367,949",31,인도(주인),0,46
2011,기타 동물,도봉구,20,"367,949",31,인도(주인),0,46
2011,개,동대문구,419,"378,534",45,인도(주인),60,63
2011,고양이,동대문구,266,"378,534",45,인도(주인),3,63
2011,기타 동물,동대문구,38,"378,534",45,인도(주인),0,63
2011,개,동작구,324,"413,658",67,인도(주인),57,57
2011,고양이,동작구,39,"413,658",67,인도(주인),0,57
2011,기타 동물,동작구,12,"413,658",67,인도(주인),0,57
2011,개,마포구,443,"398,627",73,인도(주인),80,85
2011,고양이,마포구,525,"398,627",73,인도(주인),5,85
2011,기타 동물,마포구,22,"398,627",73,인도(주인),0,85
2011,개,서대문구,273,"324,529",28,인도(주인),67,70
2011,고양이,서대문구,276,"324,529",28,인도(주인),3,70
2011,기타 동물,서대문구,11,"324,529",28,인도(주인),0,70
2011,개,서초구,167,"439,012",141,인도(주인),47,52
2011,고양이,서초구,282,"439,012",141,인도(주인),5,52
2011,기타 동물,서초구,6,"439,012",141,인도(주인),0,52
2011,개,성동구,222,"308,767",27,인도(주인),48,50
2011,고양이,성동구,162,"308,767",27,인도(주인),2,50
2011,기타 동물,성동구,13,"308,767",27,인도(주인),0,50
2011,개,성북구,376,"494,422",43,인도(주인),68,72
2011,고양이,성북구,352,"494,422",43,인도(주인),3,72
2011,기타 동물,성북구,28,"494,422",43,인도(주인),1,72
2011,개,송파구,363,"690,466",94,인도(주인),82,84
2011,고양이,송파구,413,"690,466",94,인도(주인),1,84
2011,기타 동물,송파구,11,"690,466",94,인도(주인),1,84
2011,개,양천구,577,"505,605",57,인도(주인),178,182
2011,고양이,양천구,161,"505,605",57,인도(주인),4,182
2011,기타 동물,양천구,17,"505,605",57,인도(주인),0,182
2011,개,영등포구,267,"439,555",32,인도(주인),57,58
2011,고양이,영등포구,270,"439,555",32,인도(주인),1,58
2011,기타 동물,영등포구,21,"439,555",32,인도(주인),0,58
2011,개,용산구,469,"259,288",64,인도(주인),61,69
2011,고양이,용산구,407,"259,288",64,인도(주인),1,69
