기간	자치구별	수의사분포	수의사분포	수의사분포	수의사분포	수의사분포	수의사분포	수의사분포	수의사분포	수의사분포	수의사분포
기간	자치구별	성별	성별	성별	직업별	직업별	직업별	직업별	직업별	직업별	직업별
기간	자치구별	합계	남자	여자	행정	연구	공수의	개업수의	학교	기타	단체
2009	합계	1,100	901	199	25	2	25	768	81	199	-
2009	종로구	15	11	4	-	-	1	14	-	-	-
2009	중구	12	9	3	1	-	1	6	-	4	-
2009	용산구	32	28	4	2	-	1	22	-	7	-
2009	성동구	20	20	-	1	-	1	17	1	-	-
2009	광진구	90	63	27	1	-	1	28	44	16	-
2009	동대문구	33	31	2	1	-	1	23	-	8	-
2009	중랑구	52	37	15	1	-	1	23	-	27	-
2009	성북구	36	32	4	1	-	1	30	-	4	-
2009	강북구	31	28	3	1	-	1	20	-	9	-
2009	도봉구	30	21	9	1	-	1	28	-	-	-
2009	노원구	47	37	10	1	-	1	36	-	9	-
2009	은평구	32	26	6	1	-	1	30	-	-	-
2009	서대문구	21	19	2	1	-	1	19	-	-	-
2009	마포구	58	44	14	1	-	1	34	-	22	-
2009	양천구	54	44	10	1	-	1	52	-	-	-
2009	강서구	40	37	3	2	-	1	37	-	-	-
2009	구로구	33	25	8	1	-	1	31	-	-	-
2009	금천구	13	11	2	1	-	1	11	-	-	-
2009	영등포구	39	28	11	-	-	1	25	-	13	-
2009	동작구	37	30	7	1	-	1	23	-	12	-
2009	관악구	64	57	7	2	-	1	25	36	-	-
2009	서초구	67	61	6	-	-	1	66	-	-	-
2009	강남구	116	94	22	-	-	1	69	-	46	-
2009	송파구	87	74	13	2	2	1	60	-	22	-
2009	강동구	41	34	7	1	-	1	39	-	-	-
2010	합계	1,207	951	256	27	2	25	703	72	378	-
2010	종로구	15	8	7	-	-	1	11	-	3	-
2010	중구	13	8	5	1	-	1	6	-	5	-
2010	용산구	37	33	4	2	-	1	23	-	11	-
2010	성동구	22	19	3	1	-	1	13	-	7	-
2010	광진구	80	56	24	1	-	1	23	39	16	-
2010	동대문구	34	26	8	1	-	1	22	-	10	-
2010	중랑구	61	43	18	1	-	1	23	-	36	-
2010	성북구	40	36	4	1	-	1	33	-	5	-
2010	강북구	34	30	4	1	-	1	21	-	11	-
2010	도봉구	29	21	9	1	-	1	18	-	9	-
2010	노원구	49	37	12	1	-	1	36	-	11	-
2010	은평구	39	33	6	1	-	1	30	-	7	-
2010	서대문구	26	23	3	1	-	1	18	-	6	-
2010	마포구	58	44	14	1	-	1	34	-	22	-
2010	양천구	53	42	11	1	-	1	36	-	15	-
2010	강서구	40	37	3	2	-	1	37	-	-	-
2010	구로구	37	28	8	1	-	1	22	-	13	-
2010	금천구	17	12	5	1	-	1	15	-	-	-
2010	영등포구	37	30	7	-	-	1	25	-	11	-
2010	동작구	43	36	7	1	-	1	25	-	16	-
2010	관악구	71	63	8	2	-	1	25	33	10	-
2010	서초구	61	55	6	-	-	1	47	-	13	-
2010	강남구	180	127	53	2	-	1	63	-	114	-
2010	송파구	92	72	20	2	2	1	60	-	27	-
2010	강동구	39	32	7	1	-	1	37	-	-	-
2011	합계	1,583	1,248	335	31	47	25	770	156	546	8
2011	종로구	13	8	5	-	-	1	10	-	2	-
2011	중구	21	14	7	8	-	1	8	-	4	-
2011	용산구	64	48	16	1	-	1	32	-	30	-
2011	성동구	27	24	3	2	-	1	17	-	7	-
2011	광진구	145	119	26	1	-	1	28	84	26	5
2011	동대문구	45	35	10	1	-	1	26	-	17	-
2011	중랑구	55	42	13	1	-	1	24	-	29	-
2011	성북구	43	39	4	1	-	1	32	-	9	-
2011	강북구	27	21	6	1	-	1	22	-	3	-
2011	도봉구	31	26	5	1	-	1	17	-	12	-
2011	노원구	53	38	15	1	-	1	39	-	12	-
2011	은평구	47	37	10	1	-	1	28	-	17	-
2011	서대문구	28	25	3	1	-	1	20	-	6	-
2011	마포구	73	51	22	-	-	1	42	-	30	-
2011	양천구	57	49	8	1	-	1	42	-	13	-
2011	강서구	91	65	26	1	25	1	39	-	25	-
2011	구로구	36	28	8	1	-	1	22	-	12	-
2011	금천구	16	14	2	1	-	1	11	-	3	-
2011	영등포구	32	26	6	1	-	1	21	-	9	-
2011	동작구	67	60	7	1	-	1	27	-	38	-
2011	관악구	116	90	26	1	-	1	29	72	10	3
2011	서초구	141	115	26	1	22	1	58	-	59	-
2011	강남구	206	154	52	1	-	1	72	-	132	-
2011	송파구	94	79	15	1	-	1	67	-	25	-
2011	강동구	55	41	14	1	-	1	37	-	16	-
2012	합계	1,591	1,253	338	32	47	25	774	156	549	8
