기간	자치구	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황	유기동물보호현황
기간	자치구	합계	개	개	개	개	개	고양이	고양이	고양이	고양이	고양이	기타	기타	기타	기타	기타
기간	자치구	합계	계	인도(주인)	입양분양	폐사안락사	계류기증	계	인도(주인)	입양분양	폐사안락사	계류기증	계	인도(주인)	입양분양	폐사안락사	계류기증
2009	합계	16,911	10,947	1,733	3,779	5,147	288	5,681	67	2,245	3,153	216	283	5	96	166	16
2009	종로구	409	227	69	119	30	9	182	7	106	68	1	-	-	-	-	-
2009	중구	268	115	11	17	87	-	146	3	100	43	-	7	1	3	3	-
2009	용산구	994	541	62	298	181	-	412	-	261	138	13	41	1	2	31	7
2009	성동구	395	265	46	26	193	-	122	1	5	116	-	8	-	-	8	-
2009	광진구	741	357	46	57	251	3	375	2	193	121	59	9	-	2	7	-
2009	동대문구	413	321	44	47	228	2	82	3	66	13	-	10	1	2	7	-
2009	중랑구	489	376	51	19	306	-	107	-	55	52	-	6	-	-	6	-
2009	성북구	563	406	46	26	334	-	144	1	3	138	2	13	-	3	10	-
2009	강북구	580	430	60	53	317	-	146	1	4	141	-	4	-	1	3	-
2009	도봉구	421	284	35	35	208	6	128	4	31	93	-	9	-	5	4	-
2009	노원구	524	362	45	37	280	-	156	1	7	148	-	6	-	1	5	-
2009	은평구	1,213	924	179	492	240	13	273	5	142	103	23	16	1	7	8	-
2009	서대문구	805	478	84	290	104	-	319	1	162	156	-	8	-	7	1	-
2009	마포구	808	513	76	384	53	-	291	2	188	101	-	4	-	4	-	-
2009	양천구	642	578	82	230	254	12	64	3	22	39	-	-	-	-	-	-
2009	강서구	818	577	79	73	415	10	222	2	4	210	6	19	-	4	14	1
2009	구로구	908	518	85	196	182	55	367	5	136	206	20	23	-	11	11	1
2009	금천구	360	242	38	25	172	7	106	3	4	93	6	12	1	6	3	2
2009	영등포구	498	288	37	19	229	3	183	-	9	157	17	27	-	2	25	-
2009	동작구	866	577	77	99	343	58	281	2	88	169	22	8	-	3	5	-
2009	관악구	1,209	785	101	421	211	52	424	6	216	196	6	-	-	-	-	-
2009	서초구	433	196	27	26	143	-	225	2	12	210	1	12	-	4	8	-
2009	강남구	578	314	69	58	184	3	251	4	13	215	19	13	-	7	4	2
2009	송파구	930	519	95	328	96	-	407	5	269	133	-	4	-	3	1	-
2009	강동구	1,046	754	189	404	106	55	268	4	149	94	21	24	-	19	2	3
2010	합계	18,624	11,120	2,006	3,460	4,923	731	7,092	65	2,065	4,318	644	412	6	122	265	19
2010	종로구	495	287	79	75	21	112	208	1	71	59	77	-	-	-	-	-
2010	중구	329	160	24	29	104	3	164	5	97	62	-	5	-	1	4	-
2010	용산구	1,048	461	80	193	188	-	530	-	247	283	-	57	-	10	47	-
2010	성동구	490	247	38	45	144	20	225	1	4	212	8	18	-	1	17	-
2010	광진구	718	386	59	94	228	5	319	2	198	119	-	13	1	6	6	-
2010	동대문구	422	350	46	69	140	95	60	1	41	4	14	12	1	1	10	-
2010	중랑구	786	552	45	213	293	1	210	3	86	119	2	24	-	22	2	-
2010	성북구	779	439	54	42	321	22	324	1	1	321	1	16	-	2	14	-
2010	강북구	734	470	38	139	293	-	248	1	70	177	-	16	-	9	7	-
2010	도봉구	552	353	64	65	220	4	179	-	8	162	9	20	-	3	17	-
2010	노원구	533	354	65	78	211	-	163	-	1	162	-	16	1	4	11	-
2010	은평구	1,331	968	210	396	199	163	347	11	162	94	80	16	-	9	7	-
2010	서대문구	964	446	83	233	130	-	506	4	208	294	-	12	-	9	3	-
2010	마포구	1,061	464	90	102	61	211	573	6	89	166	312	24	-	3	2	19
2010	양천구	751	639	153	243	228	15	107	4	32	70	1	5	-	3	2	-
2010	강서구	797	499	89	78	324	8	265	5	2	253	5	33	-	1	32	-
2010	구로구	838	520	92	149	241	38	316	1	159	126	30	2	-	1	1	-
2010	금천구	456	268	42	61	165	-	176	-	2	172	2	12	-	-	12	-
2010	영등포구	539	281	59	60	162	-	239	2	1	236	-	19	-	4	15	-
2010	동작구	746	526	81	103	319	23	201	3	92	86	20	19	-	12	7	-
2010	관악구	1,014	617	121	313	178	5	397	6	103	288	-	-	-	-	-	-
2010	서초구	495	213	48	39	126	-	265	3	3	259	-	17	-	2	15	-
2010	강남구	703	346	82	82	176	6	328	-	133	193	2	29	2	7	20	-
2010	송파구	994	549	65	164	320	-	442	2	120	266	54	3	-	2	1	-
2010	강동구	1,049	725	199	395	131	-	300	3	135	135	27	24	1	10	13	-
2011	합계	15,229	8,523	1,759	2,376	4,365	23	6,263	61	1,734	4,437	31	443	10	107	326	-
2011	종로구	379	181	26	12	143	-	196	-	9	187	-	2	-	-	2	-
2011	중구	325	128	25	15	88	-	193	-	87	106	-	4	-	-	4	-
2011	용산구	944	469	61	360	40	8	407	1	296	100	10	68	7	13	48	-
2011	성동구	397	222	48	30	144	-	162	2	3	157	-	13	-	2	11	-
2011	광진구	698	312	65	48	199	-	369	3	197	169	-	17	-	4	13	-
2011	동대문구	723	419	60	126	233	-	266	3	8	255	-	38	-	17	21	-
2011	중랑구	512	365	54	42	269	-	131	2	86	33	10	16	-	2	14	-
2011	성북구	756	376	68	50	258	-	352	3	8	341	-	28	1	5	22	-
2011	강북구	578	317	48	28	241	-	248	2	6	240	-	13	-	2	11	-
2011	도봉구	466	289	46	43	200	-	157	-	2	155	-	20	-	1	19	-
2011	노원구	445	308	77	47	184	-	126	1	1	124	-	11	1	1	9	-
2011	은평구	564	412	78	40	294	-	136	3	2	131	-	16	-	-	16	-
2011	서대문구	560	273	67	57	149	-	276	3	12	261	-	11	-	-	11	-
2011	마포구	990	443	80	276	87	-	525	5	352	168	-	22	-	13	9	-
2011	양천구	755	577	178	212	172	15	161	4	86	60	11	17	-	9	8	-
2011	강서구	700	397	59	37	301	-	277	11	2	264	-	26	-	5	21	-
2011	구로구	471	292	38	36	218	-	164	-	4	160	-	15	-	1	14	-
2011	금천구	413	212	26	9	177	-	191	-	3	188	-	10	-	-	10	-
2011	영등포구	558	267	57	85	125	-	270	1	223	46	-	21	-	9	12	-
2011	동작구	375	324	57	32	235	-	39	-	32	7	-	12	-	5	7	-
2011	관악구	718	550	138	347	65	-	166	2	114	50	-	2	-	-	2	-
2011	서초구	455	167	47	18	102	-	282	5	5	272	-	6	-	2	4	-
2011	강남구	602	222	52	33	137	-	357	6	8	343	-	23	-	4	19	-
2011	송파구	787	363	82	53	228	-	413	1	5	407	-	11	1	1	9	-
2011	강동구	1,058	638	222	340	76	-	399	3	183	213	-	21	-	11	10	-
2012	합계	13,556	7,860	1,762	2,327	3,310	461	5,350	85	1,369	3,319	577	346	11	148	166	21
2012	종로구	371	129	17	31	77	4	238	2	72	163	1	4	1	-	3	-
2012	중구	203	97	17	9	71	-	102	-	44	58	-	4	-	-	4	-
2012	용산구	1,064	461	115	323	12	11	552	9	416	108	19	51	4	34	10	3
2012	성동구	356	206	33	30	127	16	142	1	2	124	15	8	-	1	6	1
2012	광진구	542	307	77	68	138	24	225	2	93	125	5	10	-	2	7	1
2012	동대문구	818	341	56	76	205	4	452	3	75	368	6	25	-	9	16	-
2012	중랑구	513	392	74	72	230	16	109	-	70	28	11	12	-	6	6	-
2012	성북구	569	349	66	49	218	16	198	3	11	182	2	22	-	10	11	1
2012	강북구	581	365	56	69	225	15	199	1	6	184	8	17	1	7	9	-
2012	도봉구	374	258	56	53	148	1	110	5	17	88	-	6	-	3	3	-
2012	노원구	356	265	59	46	153	7	83	1	8	74	-	8	-	1	6	1
2012	은평구	529	406	91	53	262	-	111	1	6	104	-	12	-	10	2	-
2012	서대문구	455	258	47	99	98	14	189	3	43	139	4	8	1	2	4	1
2012	마포구	1,084	403	103	123	47	130	665	7	114	204	340	16	-	7	5	4
2012	양천구	697	541	175	213	122	31	145	4	52	76	13	11	-	4	6	1
2012	강서구	602	385	74	94	217	-	199	5	8	186	-	18	1	5	12	-
2012	구로구	364	247	48	40	146	13	108	2	5	93	8	9	-	3	6	-
2012	금천구	439	266	40	110	116	-	167	1	43	123	-	6	-	2	4	-
2012	영등포구	377	239	34	55	126	24	133	1	14	110	8	5	-	3	2	-
2012	동작구	335	288	85	89	114	-	31	2	13	16	-	16	1	5	10	-
2012	관악구	894	505	128	282	57	38	363	9	187	158	9	26	1	8	14	3
2012	서초구	373	171	37	31	93	10	190	4	5	94	87	12	-	7	5	-
2012	강남구	505	248	58	56	122	12	240	9	8	214	9	17	-	6	9	2
2012	송파구	562	300	72	67	130	31	258	3	8	235	12	4	-	-	4	-
2012	강동구	593	433	144	189	56	44	141	7	49	65	20	19	1	13	2	3
2013	합계	11,672	7,803	2,007	1,660	3,690	446	3,509	84	900	2,339	186	360	15	241	79	25
2013	종로구	182	141	28	15	58	40	35	-	3	22	10	6	-	2	-	4
2013	중구	302	149	31	9	77	32	145	-	42	74	29	8	-	7	1	-
2013	용산구	980	427	142	242	43	-	544	33	324	187	-	9	3	-	6	-
2013	성동구	298	196	39	27	125	5	86	3	3	80	-	16	-	14	1	1
2013	광진구	355	274	93	37	140	4	52	2	7	43	-	29	2	25	2	-
2013	동대문구	495	327	72	38	131	86	154	3	13	109	29	14	-	8	1	5
2013	중랑구	413	327	74	46	178	29	74	4	5	62	3	12	2	7	2	1
2013	성북구	528	356	70	39	241	6	156	-	6	149	1	16	1	13	2	-
2013	강북구	538	400	77	40	250	33	123	1	4	113	5	15	-	7	4	4
2013	도봉구	348	272	73	28	169	2	50	1	4	45	-	26	-	26	-	-
2013	노원구	377	305	61	34	204	6	58	4	3	51	-	14	3	11	-	-
2013	은평구	562	438	111	41	280	6	110	-	6	104	-	14	-	12	2	-
