year,month,title,writer,rank,split_writer,nouns
2000,1,자장자장 엄마 품에,"임동권 (글), 류재수  (그림) |",1,"[('임동권 ', '글'), (', 류재수  ', '그림')]","['자장', '자장', '엄마', '품']"
2000,1,나무가 기도하는 집,이윤기  (지은이) |,2,"[('이윤기  ', '지은이')]","['나무', '기도', '집']"
2000,1,이제는 와인이 좋다,이주호  (지은이) |,3,"[('이주호  ', '지은이')]","['이제', '와인']"
2000,1,지식의 지배,"레스터 서로우 (지은이), 한기찬  (옮긴이) |",4,"[('레스터 서로우 ', '지은이'), (', 한기찬  ', '옮긴이')]","['지식', '지배']"
2000,1,강아지똥,"권정생 (글), 정승각  (그림) |",5,"[('권정생 ', '글'), (', 정승각  ', '그림')]",['강아지똥']
2000,1,인터넷 자본주의 혁명,"이케다 노부오 (지은이), 이규원  (옮긴이) |",6,"[('이케다 노부오 ', '지은이'), (', 이규원  ', '옮긴이')]","['인터넷', '자본주의', '혁명']"
2000,1,개인투자가를 위한 주식 @ 살 때와 팔 때,한국경제신문증권부  (지은이) |,7,"[('한국경제신문증권부  ', '지은이')]","['개인', '투자가', '주식', '때', '때']"
2000,1,그림책을 보고 크는 아이들,이상금  (지은이) |,8,"[('이상금  ', '지은이')]","['그림책', '아이들']"
2000,1,쎄느강은 좌우를 나누고 한강은 남북을 가른다,홍세화  (지은이) |,9,"[('홍세화  ', '지은이')]",['쎄느강은 좌우를 나누고 한강은 남북을 가른다']
2000,1,자전거 도둑,"박완서 (글), 한병호  (그림) |",10,"[('박완서 ', '글'), (', 한병호  ', '그림')]",['자전거 도둑']
2000,1,'영어'하면 기죽는 엄마를 위한 자신만만 유아영어,서현주 (지은이) | 한울림어린이 (한울림) |,11,"[('서현주 ', '지은이'), (' | 한울림어린이 ', '한울림')]","['영어', '하면', '엄마', '유아', '영어']"
2000,1,손정의 21세기 경영전략,이시카와 요시미  (지은이) |,12,"[('이시카와 요시미  ', '지은이')]","['손정', '21세기', '경영', '전략']"
2000,1,"아들, 제대로 알고 잘 키우기","야마자키 마사야스 (지은이), 김정숙 (그림), 김숙  (옮긴이) |",13,"[('야마자키 마사야스 ', '지은이'), (', 김정숙 ', '그림'), (', 김숙  ', '옮긴이')]",['아들']
2000,1,로마인 이야기 7,"시오노 나나미 (지은이), 김석희  (옮긴이) |",14,"[('시오노 나나미 ', '지은이'), (', 김석희  ', '옮긴이')]","['로마인', '이야기']"
2000,1,누구야 누구,"심조원 (지은이), 권혁도  (그림) |",15,"[('심조원 ', '지은이'), (', 권혁도  ', '그림')]",[]
2000,1,겨울이 꽃핀다,박노해  (지은이) |,16,"[('박노해  ', '지은이')]",['겨울']
2000,1,옆집 여자,하성란  (지은이) |,17,"[('하성란  ', '지은이')]","['옆집', '여자']"
2000,1,수학이 수군수군,"샤르탄 포스키트 (지은이), 유광태  (옮긴이) |",18,"[('샤르탄 포스키트 ', '지은이'), (', 유광태  ', '옮긴이')]","['수학', '수군', '수군']"
2000,1,문학과 예술의 사회사 1,"아르놀트 하우저 (지은이), 반성완, 백낙청, 염무웅  (옮긴이) |",19,"[('아르놀트 하우저 ', '지은이'), (', 반성완, 백낙청, 염무웅  ', '옮긴이')]","['문학', '예술', '사회사']"
2000,1,하늘이랑 바다랑 도리도리 짝짜꿍,"김세희 (엮은이), 유애로  (그림) |",20,"[('김세희 ', '엮은이'), (', 유애로  ', '그림')]","['하늘', '이랑', '바다']"
2000,1,당신의 미술관 1,"수잔나 파르취 (지은이), 홍진경  (옮긴이) |",21,"[('수잔나 파르취 ', '지은이'), (', 홍진경  ', '옮긴이')]",['미술관']
2000,1,빌 게이츠@생각의 속도,"빌 게이츠 (지은이), 안진환, 이규행  (옮긴이) |",22,"[('빌 게이츠 ', '지은이'), (', 안진환, 이규행  ', '옮긴이')]","['빌 게이츠', '생각', '속도']"
2000,1,"있잖아요, 산타 마을에서는요...","가노 준코 (글), 구로이 겐 (그림), 고향옥  (옮긴이) |",23,"[('가노 준코 ', '글'), (', 구로이 겐 ', '그림'), (', 고향옥  ', '옮긴이')]","['산타', '마을']"
2000,1,홀림,성석제  (지은이) |,24,"[('성석제  ', '지은이')]",[]
